#<METADATA>Ln prior of deletion of length 10=-20.72326583694641
#<METADATA>Ln prior of deletion of length 9=-20.72326583694641
#<METADATA>Ln prior of deletion of length 8=-20.72326583694641
#<METADATA>Ln prior of deletion of length 7=-20.72326583694641
#<METADATA>Ln prior of deletion of length 6=-20.72326583694641
#<METADATA>Ln prior of deletion of length 5=-20.72326583694641
#<METADATA>Ln prior of deletion of length 4=-20.72326583694641
#<METADATA>Ln prior of deletion of length 3=-20.72326583694641
#<METADATA>Ln prior of deletion of length 2=-20.72326583694641
#<METADATA>Ln prior of deletion of length 1=-20.72326583694641
#<METADATA>Ln prior of SNV=-15.374894446951226
#<METADATA>Ln prior of insertion of length 1=-20.72326583694641
#<METADATA>Ln prior of insertion of length 2=-20.72326583694641
#<METADATA>Ln prior of insertion of length 3=-20.72326583694641
#<METADATA>Ln prior of insertion of length 4=-20.72326583694641
#<METADATA>Ln prior of insertion of length 5=-20.72326583694641
#<METADATA>Ln prior of insertion of length 6=-20.72326583694641
#<METADATA>Ln prior of insertion of length 7=-16.670081596240337
#<METADATA>Ln prior of insertion of length 8=-20.72326583694641
#<METADATA>Ln prior of insertion of length 9=-20.72326583694641
#<METADATA>Ln prior of insertion of length 10=-20.72326583694641
#<METADATA>Background beta-binomial cluster=weight = 0.6812, alpha = 1.00, beta = 2.09
#<METADATA>High-AF beta-binomial cluster=weight = 0.3188, alpha = 10.00, beta = 1.01
#<METADATA>threshold=0.0
#<METADATA>fdr=0.0
#<METADATA>sensitivity=0.0
filter	FP	FDR	FN	FNR
weak_evidence	0.0	0.0	0.06	0.05
strand_bias	0.0	0.0	0.27	0.21
normal_artifact	0.0	0.0	0.0	0.0
haplotype	0.0	0.0	0.01	0.0
germline	0.0	0.0	0.0	0.0
