## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix124_5M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix124_5M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix124_5M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 26 14:40:54 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
144	156	21	2	234369904	139.511462	32.386143	1610788	FR	9	17	25	35	43	53	65	79	105	137	185			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	1
4	2
9	2
11	2
13	1
14	1
16	1
17	2
18	1
19	8
20	4
21	6
22	3
23	4
24	7
25	9
26	6
27	9
28	16
29	23
30	28
31	38
32	62
33	64
34	92
35	95
36	146
37	196
38	225
39	293
40	330
41	385
42	442
43	553
44	595
45	629
46	768
47	808
48	878
49	1030
50	1143
51	1294
52	1351
53	1270
54	1482
55	1570
56	1627
57	1806
58	1904
59	1957
60	2051
61	2294
62	2358
63	2501
64	2557
65	2675
66	2744
67	3075
68	3032
69	3111
70	3264
71	3397
72	3567
73	3633
74	3735
75	3843
76	3980
77	4105
78	4133
79	4466
80	4397
81	4651
82	4720
83	4769
84	5157
85	5143
86	5287
87	5371
88	5445
89	5627
90	6010
91	6037
92	6070
93	6456
94	6418
95	6657
96	6508
97	6917
98	6870
99	7308
100	7416
101	7718
102	7815
103	8064
104	8300
105	8382
106	8519
107	8871
108	8996
109	9254
110	9582
111	9796
112	10311
113	10351
114	10633
115	10868
116	11136
117	11367
118	11610
119	11912
120	12539
121	12629
122	13113
123	13542
124	14114
125	14412
126	14794
127	15149
128	15416
129	15762
130	16241
131	16785
132	17436
133	17823
134	17873
135	18393
136	18439
137	18985
138	19136
139	19123
140	19681
141	19964
142	20196
143	20113
144	20476
145	20418
146	20361
147	20676
148	20644
149	20564
150	20501
151	20280
152	20434
153	20615
154	20816
155	20613
156	21043
157	20743
158	20416
159	20566
160	20385
161	20463
162	20336
163	20249
164	20078
165	20183
166	19927
167	19972
168	19239
169	18788
170	18738
171	18357
172	17849
173	17512
174	17336
175	16906
176	16090
177	15382
178	14591
179	13855
180	13059
181	12042
182	10832
183	9986
184	9403
185	8436
186	7729
187	7058
188	6258
189	5517
190	4713
191	3842
192	3255
193	2491
194	1949
195	1417
196	1003
197	647
198	483
199	364
200	228
201	215
202	171
203	166
204	151
205	147
206	124
207	111
208	121
209	141
210	116
211	116
212	128
213	99
214	114
215	114
216	114
217	121
218	104
219	96
220	87
221	96
222	77
223	85
224	83
225	102
226	76
227	86
228	73
229	75
230	92
231	82
232	73
233	82
234	86
235	80
236	63
237	75
238	74
239	67
240	73
241	62
242	67
243	70
244	76
245	52
246	63
247	79
248	66
249	35
250	56
251	48
252	47
253	53
254	52
255	47
256	68
257	49
258	56
259	39
260	51
261	56
262	38
263	46
264	46
265	44
266	47
267	49
268	54
269	45
270	43
271	47
272	29
273	40
274	34
275	37
276	28
277	45
278	27
279	37
280	43
281	31
282	41
283	27
284	26
285	37
286	28
287	29
288	29
289	22
290	22
291	41
292	29
293	21
294	23
295	26
296	32
297	19
298	24
299	18
300	19
301	18
302	21
303	21
304	17
305	30
306	19
307	11
308	18
309	18
310	21
311	12
312	24
313	16
314	9
315	18
316	13
317	21
318	19
319	11
320	14
321	18
322	11
323	14
324	15
325	9
326	14
327	9
328	13
329	14
330	15
331	11
332	10
333	13
334	20
335	10
336	8
337	9
338	6
339	11
340	12
341	15
342	9
343	13
344	12
345	7
346	11
347	10
348	6
349	9
350	6
351	10
352	6
353	8
354	6

