## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix124_20M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix124_20M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix124_20M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 27 01:33:48 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
143	156	22	1	239491197	138.852885	32.912954	2272703	FR	9	17	25	35	45	55	67	81	107	139	187			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	1
2	1
4	2
5	1
8	3
9	3
10	1
11	1
12	3
13	1
14	1
15	3
16	1
17	2
18	3
19	26
20	11
21	12
22	13
23	15
24	14
25	24
26	31
27	27
28	40
29	60
30	62
31	105
32	164
33	145
34	202
35	218
36	303
37	376
38	461
39	542
40	605
41	698
42	814
43	960
44	991
45	1107
46	1308
47	1447
48	1508
49	1698
50	1848
51	2102
52	2121
53	2139
54	2364
55	2500
56	2585
57	2831
58	2992
59	3040
60	3203
61	3526
62	3624
63	3819
64	3940
65	4058
66	4175
67	4518
68	4560
69	4699
70	4883
71	5043
72	5322
73	5436
74	5581
75	5658
76	5905
77	6003
78	6104
79	6551
80	6421
81	6797
82	6869
83	6982
84	7384
85	7424
86	7604
87	7845
88	7879
89	8169
90	8586
91	8645
92	8685
93	9172
94	9315
95	9409
96	9406
97	9906
98	9785
99	10429
100	10564
101	10832
102	11110
103	11382
104	11697
105	11816
106	12012
107	12447
108	12630
109	13016
110	13512
111	13898
112	14618
113	14657
114	14981
115	15338
116	15683
117	16108
118	16339
119	16907
120	17708
121	17780
122	18535
123	19025
124	19933
125	20316
126	20814
127	21263
128	21841
129	22312
130	23001
131	23560
132	24447
133	25102
134	25018
135	25900
136	26030
137	26571
138	26867
139	26936
140	27573
141	27998
142	28195
143	28352
144	28653
145	28578
146	28703
147	29031
148	29007
149	28914
150	28591
151	28496
152	28486
153	28867
154	29179
155	28897
156	29357
157	29086
158	28675
159	28512
160	28483
161	28456
162	28288
163	28234
164	27846
165	28227
166	27865
167	27676
168	26661
169	26316
170	26017
171	25474
172	24985
173	24307
174	24045
175	23167
176	22242
177	21401
178	20303
179	19344
180	17991
181	16686
182	15215
183	13843
184	12950
185	11488
186	10542
187	9740
188	8612
189	7543
190	6494
191	5291
192	4431
193	3404
194	2652
195	1937
196	1380
197	902
198	665
199	497
200	340
201	307
202	241
203	236
204	209
205	206
206	175
207	165
208	172
209	191
210	173
211	145
212	172
213	145
214	161
215	170
216	170
217	160
218	151
219	126
220	129
221	140
222	110
223	124
224	108
225	134
226	116
227	119
228	110
229	116
230	115
231	122
232	105
233	123
234	118
235	106
236	84
237	108
238	110
239	102
240	99
241	76
242	101
243	98
244	107
245	77
246	96
247	109
248	85
249	62
250	76
251	63
252	72
253	90
254	78
255	75
256	90
257	72
258	73
259	55
260	72
261	79
262	53
263	61
264	66
265	64
266	69
267	60
268	68
269	57
270	52
271	59
272	49
273	59
274	56
275	58
276	42
277	55
278	42
279	53
280	54
281	49
282	59
283	44
284	38
285	49
286	42
287	45
288	39
289	31
290	32
291	50
292	36
293	29
294	37
295	36
296	43
297	29
298	32
299	30
300	27
301	26
302	31
303	31
304	25
305	38
306	29
307	27
308	25
309	29
310	24
311	20
312	29
313	25
314	19
315	21
316	22
317	32
318	25
319	19
320	22
321	27
322	20
323	23
324	21
325	20
326	25
327	18
328	22
329	23
330	22
331	17
332	20
333	18
334	21
335	16
336	15
337	11
338	10
339	14
340	19
341	19
342	14
343	16
344	17
345	12
346	13
347	14
348	10
349	14
350	13
351	12
352	10
353	13
354	11
355	13
356	9
357	12
358	13
359	15
360	7
361	11
362	11
363	6

