## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix124_200M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix124_200M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix124_200M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Mar 29 23:17:19 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
143	156	22	2	239491197	138.338889	33.463785	2933549	FR	9	17	25	35	45	55	67	81	111	143	197			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	4
3	3
4	9
5	6
6	5
7	6
8	6
9	8
10	6
11	7
12	5
13	5
14	4
15	7
16	5
17	17
18	10
19	118
20	66
21	52
22	54
23	60
24	69
25	81
26	80
27	91
28	103
29	153
30	190
31	284
32	400
33	348
34	399
35	448
36	544
37	688
38	763
39	967
40	1002
41	1116
42	1300
43	1525
44	1550
45	1734
46	1993
47	2215
48	2260
49	2518
50	2678
51	2960
52	3026
53	3108
54	3416
55	3544
56	3625
57	3860
58	4143
59	4272
60	4493
61	4803
62	4990
63	5204
64	5408
65	5580
66	5667
67	5998
68	6209
69	6340
70	6588
71	6790
72	7040
73	7350
74	7460
75	7619
76	8010
77	7989
78	8136
79	8546
80	8452
81	8915
82	9086
83	9154
84	9660
85	9651
86	9874
87	10153
88	10259
89	10645
90	11141
91	11199
92	11294
93	11907
94	12112
95	12156
96	12255
97	12893
98	12710
99	13363
100	13461
101	13923
102	14268
103	14742
104	15091
105	15223
106	15457
107	16032
108	16226
109	16757
110	17338
111	17796
112	18658
113	18818
114	19208
115	19787
116	19999
117	20743
118	20952
119	21634
120	22675
121	22916
122	23971
123	24487
124	25613
125	26017
126	26617
127	27257
128	27833
129	28639
130	29642
131	30200
132	31440
133	32248
134	32090
135	33105
136	33500
137	34217
138	34307
139	34559
140	35220
141	35612
142	36066
143	36079
144	36530
145	36553
146	36949
147	37121
148	37041
149	36896
150	36653
151	36480
152	36607
153	36937
154	37130
155	36979
156	37402
157	37381
158	36563
159	36487
160	36401
161	36238
162	35930
163	35955
164	35638
165	36075
166	35553
167	35187
168	33965
169	33679
170	33254
171	32458
172	31933
173	30886
174	30603
175	29526
176	28563
177	27449
178	25897
179	24668
180	22791
181	21240
182	19278
183	17642
184	16366
185	14782
186	13456
187	12338
188	10936
189	9631
190	8202
191	6717
192	5594
193	4377
194	3394
195	2511
196	1761
197	1229
198	882
199	656
200	466
201	414
202	337
203	322
204	279
205	294
206	251
207	246
208	235
209	260
210	248
211	208
212	241
213	201
214	213
215	226
216	214
217	228
218	213
219	190
220	178
221	185
222	168
223	178
224	164
225	189
226	154
227	157
228	145
229	152
230	142
231	165
232	137
233	165
234	155
235	140
236	113
237	142
238	155
239	145
240	141
241	101
242	137
243	123
244	126
245	106
246	124
247	145
248	107
249	91
250	110
251	108
252	99
253	117
254	112
255	106
256	121
257	92
258	89
259	89
260	92
261	100
262	83
263	87
264	96
265	85
266	82
267	86
268	86
269	79
270	70
271	78
272	68
273	77
274	69
275	79
276	67
277	81
278	65
279	67
280	66
281	65
282	83
283	66
284	60
285	64
286	54
287	64
288	49
289	49
290	41
291	59
292	48
293	41
294	51
295	50
296	53
297	49
298	40
299	37
300	34
301	32
302	41
303	40
304	33
305	48
306	42
307	34
308	41
309	36
310	34
311	30
312	38
313	32
314	27
315	33
316	33
317	36
318	33
319	28
320	27
321	31
322	25
323	28
324	27
325	26
326	33
327	24
328	25
329	35
330	27
331	22
332	25
333	27
334	27
335	26
336	19
337	19
338	15
339	28
340	27
341	21
342	18
343	25
344	25
345	15
346	19
347	24
348	15
349	20
350	17
351	18
352	15
353	21
354	15
355	18
356	14
357	22
358	18
359	19
360	13
361	16
362	14
363	13

