## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/ubuntu/projects/ctdna/results/qc/mix01_20M.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=/home/ubuntu/projects/ctdna/results/bam/mix01_20M.markdup.bam OUTPUT=/home/ubuntu/projects/ctdna/results/qc/mix01_20M.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 27 01:02:51 UTC 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
142	145	17	2	239971341	139.102351	26.656162	5054141	FR	7	13	21	27	35	43	53	63	81	111	169			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
4	1
6	1
7	1
9	3
11	2
12	1
14	1
15	1
17	1
18	1
20	1
21	1
23	2
25	1
26	1
28	1
29	1
30	43
31	105
32	113
33	106
34	167
35	195
36	287
37	343
38	421
39	541
40	605
41	706
42	855
43	993
44	1050
45	1249
46	1379
47	1583
48	1708
49	1918
50	2013
51	2244
52	2353
53	2543
54	2827
55	2911
56	3040
57	3291
58	3584
59	3592
60	3833
61	4093
62	4214
63	4603
64	4687
65	4930
66	5121
67	5300
68	5576
69	5875
70	6156
71	6327
72	6595
73	6832
74	7101
75	7261
76	7573
77	7786
78	8023
79	8175
80	8718
81	8899
82	9024
83	9508
84	9586
85	10088
86	10745
87	10960
88	11335
89	11697
90	12209
91	12900
92	13154
93	13513
94	14340
95	15056
96	15252
97	16432
98	16882
99	17466
100	18443
101	19325
102	20265
103	21401
104	22171
105	23476
106	24991
107	25870
108	27428
109	29028
110	30191
111	31714
112	33479
113	35020
114	36302
115	37695
116	39120
117	40652
118	42774
119	44343
120	47238
121	49428
122	51891
123	54221
124	56632
125	58839
126	60802
127	62576
128	63727
129	66036
130	67444
131	68718
132	70725
133	71461
134	72592
135	73924
136	74504
137	75429
138	76422
139	76640
140	77192
141	78284
142	78604
143	78455
144	79963
145	80021
146	79632
147	79694
148	78996
149	78331
150	78298
151	78572
152	78103
153	77779
154	77774
155	77084
156	76321
157	75296
158	74584
159	73396
160	72665
161	71231
162	69644
163	69220
164	67301
165	66493
166	64851
167	62964
168	61034
169	58889
170	56753
171	54457
172	51583
173	48878
174	45839
175	42725
176	38443
177	34472
178	29451
179	24639
180	19646
181	15056
182	11053
183	7868
184	5394
185	3703
186	2476
187	1623
188	1112
189	782
190	625
191	524
192	487
193	413
194	401
195	361
196	309
197	350
198	360
199	322
200	289
201	309
202	319
203	300
204	290
205	296
206	265
207	247
208	267
209	228
210	248
211	256
212	250
213	186
214	248
215	232
216	213
217	230
218	212
219	212
220	203
221	196
222	194
223	215
224	194
225	176
226	174
227	215
228	211
229	176
230	175
231	177
232	163
233	159
234	173
235	158
236	158
237	154
238	162
239	159
240	159
241	154
242	178
243	141
244	150
245	150
246	153
247	126
248	128
249	127
250	121
251	141
252	140
253	137
254	135
255	127
256	130
257	116
258	107
259	109
260	123
261	92
262	108
263	101
264	91
265	85
266	91
267	99
268	110
269	92
270	79
271	76
272	89
273	98
274	99
275	92
276	82
277	84
278	69
279	73
280	69
281	75
282	94
283	89
284	79
285	81
286	58
287	70
288	79
289	74
290	56
291	61
292	49
293	70
294	64
295	67
296	55
297	44
298	59
299	51
300	47
301	41
302	61
303	55
304	66
305	43
306	51
307	57
308	44
309	47
310	37
311	46
312	48

